FILE NAME,MeanD_FULL_IMAGE,MeanD_LUNG_PART,LABEL
COVID-1,145.89684679142292,126.6840093641011,COVID
COVID-2,150.6405297479894,104.49405434733463,COVID
COVID-3,140.59861746512902,101.49786424191161,COVID
COVID-4,116.71467880672476,98.89825925925926,COVID
COVID-5,167.83579602017875,124.4931686572566,COVID
COVID-6,152.10205702397064,137.41871359077533,COVID
COVID-7,149.37020838693078,118.44514495868557,COVID
COVID-8,160.47578886142213,111.96580210620326,COVID
COVID-9,125.14219080323487,102.4589002533546,COVID
COVID-10,141.35546582252994,122.01345654303113,COVID
COVID-11,149.83344705316495,126.11256946907886,COVID
COVID-12,150.6977998008971,127.42634450506625,COVID
COVID-13,120.62544043131508,88.63183077310501,COVID
COVID-14,124.46908871265423,88.57395064667142,COVID
COVID-15,158.4232950414425,138.85211137746634,COVID
COVID-16,129.67687162335992,107.57100498391269,COVID
COVID-17,123.76983478932003,86.29424916159483,COVID
COVID-18,151.38281450990482,126.88998254460823,COVID
COVID-19,117.14655317054618,114.62335443674003,COVID
COVID-20,135.49243297054844,106.76694151486097,COVID
COVID-21,151.38281450990482,126.88998254460823,COVID
COVID-22,102.07846668381785,101.73854071731088,COVID
COVID-23,120.34528696547018,105.74077581634972,COVID
COVID-24,148.57567588729432,133.08837778321507,COVID
COVID-25,128.781098645429,113.87306986699282,COVID
COVID-26,111.7489513540117,90.40423469607548,COVID
COVID-27,134.730730081319,123.94893442622951,COVID
COVID-28,142.61572018210086,93.71970569097553,COVID
COVID-29,165.81687005738192,131.07426862187202,COVID
COVID-30,150.90924038880996,127.7112158532259,COVID
COVID-31,145.16928222279392,111.38729418221735,COVID
COVID-32,124.47211999865773,75.19152809058095,COVID
COVID-33,126.80513640787015,117.92725956409085,COVID
COVID-34,159.79845863021666,133.15045821365067,COVID
COVID-35,137.17868927640632,106.54224437502194,COVID
COVID-36,153.96219281663517,117.88997364896971,COVID
COVID-37,90.2944374224002,86.27466532538884,COVID
COVID-38,135.673549512869,92.16929645442733,COVID
COVID-39,150.98540284784286,141.3372813990461,COVID
COVID-40,170.36586839073388,141.76577453365775,COVID
COVID-41,137.277424189886,103.09897771195318,COVID
COVID-42,130.95808771713962,122.54386860692706,COVID
COVID-43,123.37110323150748,93.07135979752964,COVID
COVID-44,131.08758291294282,92.44706655514399,COVID
COVID-45,129.2872115524435,117.99097299581301,COVID
COVID-46,153.23329716669835,99.90943005181347,COVID
COVID-47,142.37262446728784,122.34291352093342,COVID
COVID-48,157.0453350633662,108.74445357436319,COVID
COVID-49,178.21909150904352,164.14161643658048,COVID
COVID-50,145.4013042359705,117.01068532358086,COVID
COVID-51,172.56205187861434,135.33235228962943,COVID
COVID-52,178.21909150904352,164.14161643658048,COVID
COVID-53,147.16933815057996,121.45782672960473,COVID
COVID-54,126.22612722452769,89.81913608216281,COVID
COVID-55,161.76615474099842,135.6887793783169,COVID
COVID-56,121.82359257726424,83.9119936605603,COVID
COVID-57,124.26514244807105,104.04009874355161,COVID
COVID-58,141.19736915694455,92.86997089539463,COVID
COVID-59,174.12577040525275,136.65191174455256,COVID
COVID-60,154.6924531045514,126.7319271170689,COVID
COVID-61,124.0331651771233,98.35389474938911,COVID
COVID-62,138.44552074361584,114.05972010530691,COVID
COVID-63,151.93391572801198,118.19198295589048,COVID
COVID-64,144.0313083746267,128.01146788990826,COVID
COVID-65,143.40542052102325,102.8221900975786,COVID
COVID-66,156.40633773671436,131.4206068543986,COVID
COVID-67,125.7232469435465,96.40578353357257,COVID
COVID-68,131.25174215053522,107.56739860501162,COVID
COVID-69,120.23540005145357,93.45220160241047,COVID
COVID-70,145.09140837350813,124.75792861876361,COVID
COVID-71,141.93230500777395,123.32296257317634,COVID
